Main,Featuring,peakPos
2 Chainz,Ariana Grande,94
2 Chainz,Drake,24
2 Chainz,Drake,94
2 Chainz,Kanye West,47
2 Chainz,Kendrick Lamar,100
2 Chainz,Lil Wayne,80
2 Chainz,Pharrell,66
2 Chainz,Travis Scott,55
2 Chainz,Ty Dolla $ign,44
2 Chainz,YG,96
21 Savage,Metro Boomin,10
21 Savage,Metro Boomin,36
21 Savage,Metro Boomin,61
21 Savage,Metro Boomin,26
21 Savage,Offset,64
21 Savage,Offset,35
24kGoldn,iann dior,1
3OH!3,Ke$ha,9
3OH!3,Neon Hitch,89
50 Cent,Dr. Dre,79
50 Cent,Eminem,27
50 Cent,Ne-Yo,28
6ix9ine,A Boogie Wit da Hoodie,51
6ix9ine,Anuel AA,30
6ix9ine,Bobby Shmurda,25
6ix9ine,DJ SPINKING,46
6ix9ine,Lil Baby,53
6ix9ine,Nicki Minaj,43
6ix9ine,Nicki Minaj,3
6ix9ine,Tory Lanez,44
6ix9ine,Tory Lanez,73
6LACK,J. Cole,76
6LACK,Lil Baby,75
A Boogie Wit da Hoodie,21 Savage,84
A Boogie Wit da Hoodie,6ix9ine,38
A Boogie Wit da Hoodie,DaBaby,80
A Boogie Wit da Hoodie,DJ SPINKING,86
A Boogie Wit da Hoodie,Juice WRLD,90
A Boogie Wit da Hoodie,Kodak Black,38
A Boogie Wit da Hoodie,Lil Uzi Vert,49
A Boogie Wit da Hoodie,Offset,59
A Boogie Wit da Hoodie,PnB Rock,86
A Boogie Wit da Hoodie,Roddy Ricch,23
A Boogie Wit da Hoodie,Young Thug,66
A Great Big World,FUTURISTIC,99
A-Trak + Milo,Otis,98
A$AP Ferg,Nicki Minaj,19
A$AP Ferg,Future,90
A$AP Ferg,Nicki Minaj,26
A$AP Rocky,Drake,8
A$AP Rocky,Moby,63
A$AP Rocky,Rod Stewart x Miguel x Mark Ronson,92
A$AP Rocky,ScHoolboy Q,80
A$AP Rocky,Skepta,45
A$AP Rocky,Skrillex,80
Aaron Lewis,George Jones,87
Ace Hood,Chris Brown,65
Ace Hood,Future,33
Action Bronson,Chance The Rapper,91
Afrojack,Chris Brown,88
Afrojack,Eva Simons,41
Afrojack,Wrabel,100
Alesso,Tove Lo,31
Alicia Keys,Miguel,90
Alicia Keys,Nicki Minaj,11
Anitta,Cardi B,91
Antoine Dodson,The Gregory Brothers,89
Ariana Grande,Big Sean,84
Ariana Grande,Doja Cat,32
Ariana Grande,Future,55
Ariana Grande,Iggy Azalea,2
Ariana Grande,Lil Wayne,99
Ariana Grande,Mac Miller,9
Ariana Grande,Nicki Minaj,4
Ariana Grande,The Weeknd,35
Ariana Grande,Ty Dolla $ign,52
Ariana Grande,Zedd,4
Arianna,Pitbull,97
Armin van Buuren,Trevor Guthrie,96
Ashe,Niall Horan,71
Auburn,Iyaz,51
August Alsina,Trinidad James,48
Austin Mahone,Pitbull,49
Avicii,Aloe Blacc,68
Avril Lavigne,Chad Kroeger,78
B.o.B,2 Chainz,53
B.o.B,Andre 3000,98
B.o.B,Bruno Mars,1
B.o.B,Hayley Williams,2
B.o.B,Lil Wayne,7
B.o.B,Priscilla,69
B.o.B,Rivers Cuomo,10
B.o.B,T.I.,64
B.o.B,T.I.,72
B.o.B,Taylor Swift,18
B.o.B,Trey Songz,80
Bad Bunny,Drake,5
Bad Meets Evil,Bruno Mars,4
Bandit Gang Marco,Dro,41
Bazzi,Camila Cabello,26
Bebe Rexha,Doja Cat,58
Becky G,Bad Bunny,74
Belly,The Weeknd,68
BENEE,Gus Dapperton,39
benny blanco,Juice WRLD,85
Beyonce,Andre 3000,50
Beyonce,Drake,82
Beyonce,Jack White,28
Beyonce,James Blake,63
Beyonce,Jay Z,2
Beyonce,Kendrick Lamar,35
Beyonce,Lady Gaga,65
Beyonce,Nicki Minaj Or Chimamanda Ngozi Adichie,41
Beyonce,The Weeknd,18
Beyonce,JAY-Z,90
Beyonce,SAINt JHN,76
Bhad Bhabie,Lil Yachty,79
Big Sean,Metro Boomin,80
Big Sean,Metro Boomin,67
Big Sean,A$AP Ferg,89
Big Sean,Chris Brown,30
Big Sean,Chris Brown,84
Big Sean,Drake,28
Big Sean,E-40,11
Big Sean,Eminem,22
Big Sean,Jeremih,97
Big Sean,Kanye West,80
Big Sean,Kanye West,82
Big Sean,Kanye West,32
Big Sean,Lil Wayne,38
Big Sean,Migos,70
Big Sean,Nicki Minaj,10
Big Sean,Nipsey Hussle,82
Big Sean,Post Malone,65
Big Sean,Travis Scott,69
Big Sean,Ty Dolla $ign,95
Big Sean,Wiz Khalifa,98
Birdman,Drake,90
Birdman,Lil Wayne,64
Birdman,Lil Wayne,26
Birdman,Nicki Minaj,68
Blake Shelton,Ashley Monroe,47
Blake Shelton,Gwen Sebastian,39
Blake Shelton,Gwen Stefani,70
Blake Shelton,Pistol Annies,12
Blake Shelton,Trace Adkins,40
BlocBoy JB,Drake,5
Bobby Brackins,Ray J,76
Bow Wow,Lil Wayne,48
Boys Like Girls,Taylor Swift,18
Brad Paisley,Alabama,38
Brad Paisley,LL Cool J,77
Brandy,Chris Brown,65
Brantley Gilbert,Justin Moore,67
Britney Spears,G-Eazy,17
Britney Spears,Nicki Minaj,3
Britney Spears,Tinashe,86
Bryce Vine,YG,75
Bryson Tiller,Drake,48
BTS,Desiigner,28
BTS,Halsey,8
BTS,Lauv,76
BTS,Nicki Minaj,11
Buck 22,Billy Ray Cyrus,80
Busta Rhymes,Eminem,94
Calvin Harris,Ayah Marar,86
Calvin Harris,Ellie Goulding,16
Calvin Harris,Florence Welch,10
Calvin Harris,Frank Ocean,25
Calvin Harris,Future,62
Calvin Harris,John Newman,19
Calvin Harris,Kehlani,94
Calvin Harris,Ne-Yo,17
Calvin Harris,Pharrell Williams,20
Calvin Harris,Rihanna,3
Calvin Harris,Young Thug,96
Camila Cabello,DaBaby,12
Camila Cabello,Quavo,81
Camila Cabello,Young Thug,1
Cardi B,21 Savage,14
Cardi B,Chance The Rapper,39
Cardi B,Kehlani,28
Cardi B,Megan Thee Stallion,1
Cardi B,Migos,21
Cardi B,SZA,23
Carly Rae Jepsen,Justin Bieber,87
Carly Rae Jepsen,Nicki Minaj,90
Carrie Underwood,Ludacris,47
Cash Cash,Bebe Rexha,57
Cashmere Cat,Ariana Grande,93
Chance The Rapper,Death Cab For Cutie,95
Chance The Rapper,John Legend,94
Chance The Rapper,Lil Wayne,43
Chance The Rapper,MadeinTYO,58
Chance The Rapper,Ty Dolla $ign,93
Charice,Iyaz,56
Charlie Puth,Kehlani,53
Charlie Puth,Meghan Trainor,21
Charlie Puth,Selena Gomez,9
Cheat Codes,Demi Lovato,38
Cher Lloyd,Becky G,73
Chief Keef,Lil Reese,73
Chris Brown,Aaliyah,81
Chris Brown,Benny Benassi,43
Chris Brown,Drake,5
Chris Brown,Future,82
Chris Brown,Gunna,36
Chris Brown,Justin Bieber,26
Chris Brown,Justin Bieber,67
Chris Brown,Kevin K-MAC McCall,37
Chris Brown,Lil Wayne,6
Chris Brown,Lil Wayne,9
Chris Brown,Lil Wayne,20
Chris Brown,Nicki Minaj,23
Chris Brown,Tyga,14
Chris Brown,Usher,40
Chris Brown,Usher,27
Chris Brown,Yo Gotti,46
Chris Lane,Tori Kelly,55
Chris Young,Vince Gill,47
Christina Aguilera,Nicki Minaj,79
Christina Perri,Steve Kazee,53
Ciara,Ludacris,42
Ciara,Nicki Minaj,44
City Girls,Cardi B,29
Clean Bandit,Demi Lovato,58
Clean Bandit,Jess Glynne,10
Clean Bandit,Julia Michaels,92
Clean Bandit,Sean Paul,9
Cobra Starship,Sabi,7
Coldplay,Rihanna,20
Curren$Y,August Alsina,97
D.R.A.M.,Lil Yachty,5
DaBaby,A Boogie Wit da Hoodie,71
DaBaby,Ashanti,50
DaBaby,Chance The Rapper,55
DaBaby,Future,53
DaBaby,Kevin Gates,49
DaBaby,Lil Baby,28
DaBaby,Migos,51
DaBaby,Offset,59
DaBaby,Quavo,44
DaBaby,Roddy Ricch,1
DaBaby,Stunna 4 Vegas,63
DaBaby,Young Thug,74
DaBaby,YoungBoy Never Broke Again,17
Daddy Yankee,Katy Perry,22
Daft Punk,Pharrell Williams,2
Daniel Caesar,H.E.R.,75
Daniel Caesar,Kali Uchis,93
DaniLeigh,Chris Brown,79
David Guetta,Chris Willis,31
David Guetta,Akon,5
David Guetta,Chris Brown,44
David Guetta,Flo Rida,14
David Guetta,Jennifer Hudson,81
David Guetta,Justin Bieber,16
David Guetta,Kid Cudi,46
David Guetta,Ne-Yo,64
David Guetta,Nicki Minaj,4
David Guetta,Nicki Minaj,8
David Guetta,Rihanna,51
David Guetta,Sam Martin,56
David Guetta,Sia,7
David Guetta,Sia,76
David Guetta,Taio Cruz,70
David Guetta,Usher,4
David Nail,Sarah Buxton,51
deadmau5,Greta Svabo Bech,100
DeJ Loaf,Big Sean,47
Demi Lovato,Cher Lloyd,26
Dev,The Cataracs,61
Diddy - Dirty Money,Drake,91
Diddy - Dirty Money,Skylar Grey,11
Diddy - Dirty Money,T.I.,27
Dierks Bentley,Brothers Osborne,45
Dierks Bentley,Elle King,42
Diggy,Jeremih,80
Diplo Presents Thomas Wesley,Morgan Wallen,39
Diplo,French Montana,78
Disclosure,Sam Smith,7
DJ Chose,BeatKing,98
DJ Drama,2 Chainz,89
DJ Drama,Chris Brown,77
DJ Drama,Fabolous,95
DJ Drama,Wale,90
DJ ESCO,Future,50
DJ Khaled,Calvin Harris,68
DJ Khaled,Beyonce,57
DJ Khaled,Big Sean,84
DJ Khaled,Cardi B,19
DJ Khaled,Chris Brown,39
DJ Khaled,Chris Brown,68
DJ Khaled,Chris Brown,58
DJ Khaled,Drake,13
DJ Khaled,Drake,10
DJ Khaled,Jay Z,30
DJ Khaled,JAY Z,22
DJ Khaled,Justin Bieber,5
DJ Khaled,Justin Bieber,1
DJ Khaled,Kanye West,78
DJ Khaled,Meek Mill,91
DJ Khaled,Meek Mill,44
DJ Khaled,Nicki Minaj,27
DJ Khaled,Nipsey Hussle,21
DJ Khaled,Rick Ross,79
DJ Khaled,Rihanna,2
DJ Khaled,SZA,43
DJ Khaled,T-Pain,24
DJ Khaled,Travis Scott,52
DJ Khaled,Travis Scott,88
DJ Snake,Bipolar Sunshine,20
DJ Snake,Justin Bieber,4
DJ Snake,Selena Gomez,11
Doja Cat,Gucci Mane,50
Doja Cat,Nicki Minaj,1
Don Toliver,Quavo,52
Dr. Dre,Eminem,4
Dr. Dre,Snoop Dogg,34
Drake,2 Chainz,20
Drake,2 Chainz,36
Drake,21 Savage,28
Drake,Alicia Keys,71
Drake,Birdman,89
Drake,Chris Brown,25
Drake,Fivio Foreign,34
Drake,Future,38
Drake,Giggs,48
Drake,Giveon,14
Drake,JAY-Z,65
Drake,Jhene Aiko,67
Drake,Jorja Smith,45
Drake,Kanye West,54
Drake,Kanye West,8
Drake,Lil Durk,2
Drake,Lil Wayne,15
Drake,Lil Wayne,40
Drake,Majid Jordan,4
Drake,Michael Jackson,9
Drake,Nicki Minaj,49
Drake,PARTYNEXTDOOR,82
Drake,Pimp C,72
Drake,Playboi Carti,7
Drake,Quavo,9
Drake,Rick Ross,7
Drake,Rihanna,7
Drake,Sampha,50
Drake,Static Major,41
Drake,T.I.,25
Drake,The Throne,16
Drake,The Weeknd,80
Drake,WizKid,1
Drake,Young Thug,62
Dreamville,Bas,75
Dreamville,J. Cole,44
Dreamville,JID,64
Dreezy,Jeremih,62
Dua Lipa,DaBaby,20
Ed Sheeran,Camila Cabello,49
Ed Sheeran,Chance The Rapper,25
Ed Sheeran,Eminem,57
Ed Sheeran,Khalid,13
Ed Sheeran,YEBBA,99
Ellie Goulding X Diplo,Swae Lee,24
Eminem,Anderson .Paak,89
Eminem,Beyonce,14
Eminem,Don Toliver,84
Eminem,Dr. Dre,29
Eminem,Ed Sheeran,11
Eminem,Gwen Stefani,80
Eminem,Jessie Reyez,67
Eminem,Joyner Lucas,6
Eminem,Juice WRLD,3
Eminem,Kobe,88
Eminem,Lil Wayne,23
Eminem,Nate Ruess,45
Eminem,P!nk,62
Eminem,Rihanna,1
Eminem,Royce Da 5'9,24
Eminem,"Royce da 5'9""",52
Eminem,Sia,99
Eminem,Skylar Grey,61
Eminem,Young M.A,36
Empire Cast,Estelle,42
Empire Cast,Jussie Smollett,99
Empire Cast,Jussie Smollett,47
Enrique Iglesias,Bad Bunny,98
Enrique Iglesias,Descemer Bueno,12
Enrique Iglesias,Descemer Bueno,81
Enrique Iglesias,Juan Luis Guerra,89
Enrique Iglesias,Ludacris,4
Enrique Iglesias,Marco Antonio Solis,85
Enrique Iglesias,Pitbull,4
Enrique Iglesias,Pitbull,74
Enrique Iglesias,Romeo Santos,80
Enrique Iglesias,Sammy Adams,24
Enrique Iglesias With Usher,Lil Wayne,18
Eric Church,Rhiannon Giddens,71
Ester Dean,Chris Brown,38
Fabolous,Chris Brown,93
Famous Dex,A$AP Rocky,54
Fantasia,Kelly Rowland,74
Far*East Movement,Cataracs,1
Far*East Movement,Justin Bieber,21
Far*East Movement,Ryan Tedder,7
Fat Joe,Dre,97
Fat Joe,Chris Brown,80
Fat Joe,Remy Ma,27
Fetty Wap,Monty,7
Fetty Wap,Remy Boyz,4
Fifth Harmony,Fetty Wap,24
Fifth Harmony,Gucci Mane,42
Fifth Harmony,Kid Ink,12
Fifth Harmony,Ty Dolla $ign,4
Five Finger Death Punch,Kenny Wayne Shepherd,66
Flo Rida,Akon,29
Flo Rida,David Guetta,9
Flo Rida,Jason Derulo,79
Flo Rida,Robin Thicke,43
Flo Rida,Sage The Gemini,8
Flo Rida,Sia,5
Florida Georgia Line,Backstreet Boys,46
Florida Georgia Line,Nelly,4
Florida Georgia Line,Tim McGraw,30
Flume,Kai,20
Flume,Tove Lo,60
French Montana,Blueface,90
French Montana,Drake,36
French Montana,Jeremih,95
French Montana,Kodak Black,73
French Montana,Nicki Minaj,77
French Montana,Post Malone,56
French Montana,Rick Ross,36
French Montana,Swae Lee,3
French Montana,The Weeknd,75
fun.,Janelle Monae,1
Future,Juice WRLD,72
Future,Young Thug,50
Future,Drake,28
Future,Kanye West,98
